style_cd,style_category,style_description,diamond_wt,metal_typ,metal_wt,metal_amt,diamond_qty,diamond_qlty,total_diamond_wt,cstone_qty,cstone_wt,cstone_shape,metal_color,metal_size,gender,ring_type,chain_type,is_set,combined_text,earring_type,stud_subtype,setting,diameter,hoop_subtype,collection,image_url,original_row_count,hash,visual_id,unsure,source
BG208110KWBS-ZA,BANGLE,VW - 3/8 CTTW DOUBLE CIRCLE BANGLE KT,0.402,10KT,10.89,499.2,134,H/I1I2,0.402,1,0,,W,7.25,LADIES,,,FALSE,VW - 3/8 CTTW DOUBLE CIRCLE BANGLE KT,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG208110KWBS-ZA.jpg,3,,,TRUE,SUMIT
BG208310KW-STK,BANGLE,1 CTTW MBS 3 STONE CUFF BANGLE KL,1.0032,10KT,15.62,716.02,135,II2,1.0032,0,0,,W,7.25,LADIES,,,FALSE,1 CTTW MBS 3 STONE CUFF BANGLE KL,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG208310KW-STK.jpg,8,,bangles/BG208310KW-STK.jpg,FALSE,SUMIT
BG208414KW-42,BANGLE,3 CTTW 3 ROW BANGLE,2.99,14KT,17.5,1373.58,73,II1,2.99,0,0,,W,0,LADIES,,,FALSE,3 CTTW 3 ROW BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG208414KW-42.jpg,9,,,TRUE,SUMIT
BG2089SS-24,BANGLE,1/5 CTTW DOUBLE CROSS BANGLE CB,0.22,SILV,5.35,9.44,22,II3,0.22,0,0,,W,6.5,LADIES,,,FALSE,1/5 CTTW DOUBLE CROSS BANGLE CB,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG2089SS-24.jpg,2,,,TRUE,SUMIT
BG209014KW-42,BANGLE,1 CTTW FAUX MQ & PEAR BANGLE LB,1.016,14KT,15.89,1272.24,151,I I1,1.016,0,0,"PEAR, MARQUISE",W,7.25,LADIES,,,FALSE,1 CTTW FAUX MQ & PEAR BANGLE LB,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG209014KW-42.jpg,12,,bangles/BG209014KW-42.jpg,FALSE,SUMIT
BG210514KW-42,BANGLE,3/4 CTTW SINGLE LINE BANGLE,0.75,14KT,10.1,798.99,15,I I1,0.75,0,0,,W,7.25,LADIES,,,FALSE,3/4 CTTW SINGLE LINE BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG210514KW-42.jpg,3,,bangles/BG210514KW-42.jpg,FALSE,SUMIT
BG211510KW-20,BANGLE,1/2 CTTW DBL CUSH CLSTER HALO BANGLE KL,0.4952,10KT,2.03,93.06,58,I I2,0.4952,0,0,CUSHION,W,6.5,LADIES,,,FALSE,1/2 CTTW DBL CUSH CLSTER HALO BANGLE KL,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG211510KW-20.jpg,5,,,TRUE,SUMIT
BG211614KW-48,BANGLE,1/2 CTTW DBL CUSH CLSTER HALO BANGLE,0.506,14KT,2.3,167.74,58,HII2,0.506,0,0,CUSHION,W,6.7,LADIES,,,FALSE,1/2 CTTW DBL CUSH CLSTER HALO BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG211614KW-48.jpg,3,,,TRUE,SUMIT
BG211710KW-20-S,BANGLE,1/2 CTTW DBL RD CLSTER HALO BANGLE MS,0.501,10KT,1.92,188.01,54,I I2,0.501,0,0,ROUND,W,6.5,LADIES,,,FALSE,1/2 CTTW DBL RD CLSTER HALO BANGLE MS,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG211710KW-20-S.jpg,4,,bangles/BG211710KW-20-S.jpg,FALSE,SUMIT
BG211814KW-48,BANGLE,1/2 CTTW DBL RD CLSTER HALO BANGLE,0.508,14KT,2.17,158.26,54,HI I2,0.508,0,0,ROUND,W,6.7,LADIES,,,FALSE,1/2 CTTW DBL RD CLSTER HALO BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG211814KW-48.jpg,8,,bangles/BG211814KW-48.jpg,FALSE,SUMIT
BG212514KW-31,BANGLE,1 1/2 CTTW BG & RND OVAL CLUSTER BANGLE,1.5028,14KT,11.11,874.03,55,,1.5028,0,0,"OVAL, ROUND, BAGUETTE",W,7.25,LADIES,,,FALSE,1 1/2 CTTW BG & RND OVAL CLUSTER BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG212514KW-31.jpg,4,,,TRUE,SUMIT
BG213010KY-22,BANGLE,1/4 CTTW 5 DROP LINKED BANGLE LP,0.256,10KT,8.39,384.14,40,I I2,0.256,0,0,,Y,7.25,LADIES,,,FALSE,1/4 CTTW 5 DROP LINKED BANGLE LP,Drop,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG213010KY-22.jpg,3,,,TRUE,SUMIT
BG213410KW-22-S,BANGLE,1/3 CTTW 2 HEART SPRING BANGLE LP,0.31,10KT,2.86,233.5,34,I I3,0.31,0,0,,W,6.5,LADIES,,,FALSE,1/3 CTTW 2 HEART SPRING BANGLE LP,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG213410KW-22-S.jpg,4,,bangles/BG213410KW-22-S.jpg,FALSE,SUMIT
BG214014KY-52,BANGLE,1/2 CTTW OVER & UNDER PAVE BANGLE,0.4952,14KT,10.76,863.97,80,I I2I3,0.4952,0,0,,Y,7.25,LADIES,,,FALSE,1/2 CTTW OVER & UNDER PAVE BANGLE,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG214014KY-52.jpg,5,,,TRUE,SUMIT
BG214514KW-48,BANGLE,1/2 CTW 2 FLOWER END BANGLE,0.5022,14KT,8.12,579.36,90,HI I2,0.5022,0,0,,W,7,LADIES,,,FALSE,1/2 CTW 2 FLOWER END BANGLE,,,,,,,https://aneri-jewels-clean-images.s3.amazonaws.com/final_clean/bangles/BG214514KW-48.jpg,3,,bangles/BG214514KW-48.jpg,FALSE,SUMIT
BG215114KY-21,BANGLE,BM - 1 CTW 9 STN DIA GOLD BANGLE EL,1,14KT,10.28,586.21,9,I I1,1,0,0,,Y,7.25,LADIES,,,FALSE,BM - 1 CTW 9 STN DIA GOLD BANGLE EL,,,,,,,https://aneri-image-tagging.s3.amazonaws.com/final_whitebg_renamed/bangles/BG215114KY-21.jpg,3,,,TRUE,SUMIT
